PC,RES_CNT_High,NRP_CNT_High,UNC_CNT_High,TOT_CNT_High,RES_CNT_Medium,NRP_CNT_Medium,UNC_CNT_Medium,TOT_CNT_Medium,RES_CNT_Low,NRP_CNT_Low,UNC_CNT_Low,TOT_CNT_Low,RES_CNT_VeryLow,NRP_CNT_VeryLow,UNC_CNT_VeryLow,TOT_CNT_VeryLow,SORTOFF,DISTRICT,SECTOR,UNIT
BD8 0EW,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,BD,8,0,EW
WA5 3SG,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,WA,5,3,SG
SW1V 2RU,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13,SW,1V,2,RU
CM6 3LD,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,CM,6,3,LD
PE20 3HE,0,0,0,0,0,0,0,0,17,4,15,36,0,0,0,0,PE,20,3,HE
LN5 7RE,0,0,0,0,0,0,0,0,24,0,2,26,0,0,0,0,LN,5,7,RE
HU7 0XD,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,42,HU,7,0,XD
RG7 1NB,6,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,RG,7,1,NB
M15 4RA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,M,15,4,RA
BS8 4YF,0,0,0,0,0,0,0,0,10,0,2,12,0,0,0,0,BS,8,4,YF
TN9 2SN,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,TN,9,2,SN
CR4 4BY,0,0,0,0,0,0,0,0,46,1,1,48,0,0,0,0,CR,4,4,BY
BN18 9RD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BN,18,9,RD
TW11 9QX,11,0,0,11,8,1,0,9,9,0,0,9,0,0,0,0,TW,11,9,QX
HA3 0RD,0,0,0,0,0,4,0,4,0,1,0,1,0,0,0,0,HA,3,0,RD
TQ10 9EN,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,TQ,10,9,EN
E6 2NT,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,E,6,2,NT
PE6 7TT,0,0,0,0,1,0,4,5,0,0,0,0,0,0,1,1,PE,6,7,TT
S9 2RR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,S,9,2,RR
TS17 6SF,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,TS,17,6,SF
